col_id,col_name,col_pretty_name,category_pretty_names,data_type,unit,allowed_values,description
150,select-chronotype,Participants were included/excluded based on their natural chronotype,Selection criteria,boolean,-,"Y, NR, NC",Participants were included/excluded based on their natural chronotype
151,select-emotionally-stable,Participants were or were not emotionally stable,Selection criteria,boolean,-,"Y, NR, NC",Participants were or were not emotionally stable
152,select-neurodivergent,"Participants were selected/excluded based on their neurodiversity (ie ASD, ADD, ADHD)",Selection criteria,boolean,-,"Y, NR, NC","Participants were selected/excluded based on their neurodiversity (ie ASD, ADD, ADHD)"
153,select-thermal-sensitivity,Participants were selected/excluded based on their thermal preferences and sensitivities,Selection criteria,boolean,-,"Y, NR, NC",Participants were selected/excluded based on their thermal preferences and sensitivities
154,select-pregnancy,Participants were selected/excluded if they had an ongoing pregnancy or were actively breastfeeding,Selection criteria,boolean,-,"Y, NR, NC",Participants were selected/excluded if they had an ongoing pregnancy or were actively breastfeeding
155,select-diet-weight-change,Participants were selected/excluded if they had a drastic weight change recently,Selection criteria,boolean,-,"Y, NR, NC",Participants were selected/excluded if they had a drastic weight change recently
156,select-hormone-therapy,Participants were selected/excluded if they are or have undergone hormone replacement therapy in the last specified time period,Selection criteria,boolean,-,"Y, NR, NC",Participants were selected/excluded if they are or have undergone hormone replacement therapy in the last specified time period
157,select-menopause,"Participants were selected/excluded if they were pre, peri or post-menopausal",Selection criteria,boolean,-,"Y, NR, NC","Participants were selected/excluded if they were pre, peri or post-menopausal"
158,select-no-medical-implant,Participants were selected/excluded if they had implants that might interfere with electrical signals,Selection criteria,boolean,-,"Y, NR, NC",Participants were selected/excluded if they had implants that might interfere with electrical signals
159,select-sex,Only a specific sex group/groups was recruited,Selection criteria,boolean,-,"Y, NR, NC",Only a specific sex group/groups was recruited
160,part-meta-age,Age,Participant metadata,boolean,-,"Y, NR, NC","Age. Can also be date of birth, and/or age group"
161,part-meta-sex,Sex,Participant metadata,boolean,-,"Y, NR, NC",Biological sex as reported by the participant
162,part-meta-height,Height,Participant metadata,boolean,-,"Y, NR, NC",Height. Can be self-reported or measured on site
163,part-meta-weight,Weight,Participant metadata,boolean,-,"Y, NR, NC",Weight. Can be self-reported or measured on site
164,part-meta-bmi,Body Mass Index (BMI),Participant metadata,boolean,-,"Y, NR, NC",BMI
165,part-meta-ponderal-index,Ponderal index,Participant metadata,boolean,-,"Y, NR, NC","Also known as Corpulence Index. Different than BMI, calculated with PI = weight / height³"
166,part-meta-body-fat,Body fat percentage,Participant metadata,boolean,-,"Y, NR, NC",Body fat ratio
167,part-meta-ethnicity-nationality,Ethnicity,Participant metadata,boolean,-,"Y, NR, NC","Ethnic background, nationality, and/or country of origin"
168,part-meta-bsa,Body Surface Area (BSA),Participant metadata,boolean,-,"Y, NR, NC",BSA
169,part-meta-thermal-history-background,Thermal history,Participant metadata,boolean,-,"Y, NR, NC","If acclimation to local climate was not a selection criteria, then information per participant is collected"
170,part-meta-education-profession,Education/Professional background,Participant metadata,boolean,-,"Y, NR, NC",Educational and/or professional background
171,part-meta-thermal-sensitivity-preference,Thermal sensitivity and preferences,Participant metadata,boolean,-,"Y, NR, NC",Thermal preferences or sensitivities were asked
172,part-meta-personality,Personality type,Participant metadata,boolean,-,"Y, NR, NC",Personality types were asked
173,part-meta-psych-eval,Psychological evaluation,Participant metadata,boolean,-,"Y, NR, NC","Some forms of psychology, emotional recognition, or emotional regulation evaluation was performed"
174,part-meta-smoking,Regular smoking,Participant metadata,boolean,-,"Y, NR, NC","If smoking was not an exclusion criteria, then the information per participant is collected"
175,part-meta-activity-level,Typical activity/fitness level,Participant metadata,boolean,-,"Y, NR, NC","Typical activity level and/or intensity, fitness level"
176,part-meta-health-status,Health level,Participant metadata,boolean,-,"Y, NR, NC",Health level. Can be self reported or tested by a form of screening
177,part-meta-chronotype,Natural chronotype,Participant metadata,boolean,-,"Y, NR, NC","Morningness-eveningness, or natural chronotype"
